goal_code,goal_labelEN,goal_descEN,target_code,target_descEN,indicator_code,indicator_reference,indicator_descEN,series_release,series_tags,series,seriesDescription,geoAreaCode,geoAreaName,level,parentCode,parentName,type,X,Y,ISO3,UN_Member,Country_Profile,timeCoverage,geoInfoUrl,years,min_year,max_year,n_years,unitsCode,unitsDesc,reportingTypeCode,reportingTypeDesc,value_2002,value_2003,value_2004,value_2005,value_2006,value_2007,value_2008,value_2009,value_2010,value_2011,value_2012,value_2013,value_2014,value_2015,value_2016,value_2017,latest_value,basePeriod,valueDetails,footnotes,sources,timeDetails,nature
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",124,Canada,4,21,Northern America,Country,-101.6575058,57.72360191,CAN,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,73.78941,98.23087,235.05754,5.92635,81.61647,57.24031,28.11063,118.36291,42.27424,67.99406,261.46325,45.83132,37.50591,60.10277,22.93436,4.73165,4.73165,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",203,Czechia,4,151,Eastern Europe,Country,15.33151382,49.73913871,CZE,1,1,,,"[2011, 2012, 2013, 2014, 2015, 2016, 2017]",2011,2017,7,CON_USD,Constant USD,G,Global,,,,,,,,,,0.30867,4.68997,3.49141,4.00763,3.19557,3.83946,3.12348,3.12348,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",208,Denmark,4,154,Northern Europe,Country,9.326571283,56.03829721,DNK,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,96.21162,89.53878,157.76543,172.40648,150.11138,98.69517,112.18567,105.51732,229.02553,142.0827,110.66071,219.21637,316.97099,156.19292,38.66974,52.72157,52.72157,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",246,Finland,4,154,Northern Europe,Country,23.308447,61.91586738,FIN,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,13.51846,4.27223,17.79377,3.14177,3.48893,49.36903,116.05125,103.45052,103.60771,174.14085,40.85549,17.42497,12.60816,19.87588,6.13346,3.32482,3.32482,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",250,France,4,155,Western Europe,Country,2.457288129,46.62660861,FRA,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,104.89828,63.48652,110.28351,67.69273,113.33992,152.03319,185.2835,212.2479,404.02534,278.46945,469.7005,218.18181,615.07657,1581.09929,1893.90785,2349.68651,2349.68651,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",276,Germany,4,155,Western Europe,Country,10.3806066,51.08862743,DEU,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,229.91607,189.63961,260.56192,297.52175,288.66055,231.12471,254.93217,341.15718,555.47003,1093.5066,927.2106,889.7133,1092.0474,1218.57309,1144.5754,1806.0593,1806.0593,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",300,Greece,4,39,Southern Europe,Country,22.58307827,39.47301873,GRC,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,15,CON_USD,Constant USD,G,Global,2.50304,6.56038,4.52749,4.02295,2.04508,3.08341,1.68672,6.83125,3.59674,,0.45849,0.10664,0.215,0.19818,0.98119,0.23022,0.23022,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",352,Iceland,4,154,Northern Europe,Country,-19.02116966,64.79134763,ISL,1,1,,,"[2012, 2013, 2014, 2015, 2016, 2017]",2012,2017,6,CON_USD,Constant USD,G,Global,,,,,,,,,,,5.37884,6.62188,5.9203,4.82854,4.50405,4.71566,4.71566,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",36,Australia,4,53,Australia and New Zealand,Country,134.3499412,-25.57717202,AUS,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,12.58932,0.59496,0.90207,16.33069,71.40773,69.50883,104.46956,177.78168,372.63305,294.87182,274.65485,245.14657,204.1826,233.87668,285.116,219.23556,219.23556,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",372,Ireland,4,154,Northern Europe,Country,-7.121425272,53.25274054,IRL,1,1,,,"[2002, 2003, 2004, 2005, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,15,CON_USD,Constant USD,G,Global,1.67997,0.81063,0.78385,0.01182,,12.875,12.97544,86.72903,37.54083,15.19321,31.72321,37.72445,31.05414,24.04838,44.3991,28.23123,28.23123,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",380,Italy,4,39,Southern Europe,Country,12.57022427,42.79917282,ITA,1,1,,,"[2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2003,2017,15,CON_USD,Constant USD,G,Global,,0.35741,0.32392,0.0664,12.50772,106.79802,60.88617,48.39226,7.86787,75.30741,34.99625,67.45718,56.71292,68.66721,49.77126,142.8364,142.8364,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",392,Japan,4,30,Eastern Asia,Country,139.2716103,36.6554539,JPN,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,587.12556,1119.27517,564.23271,942.36015,1160.13297,1821.81406,795.76157,926.82509,850.78566,1078.75095,326.13963,97.53544,1083.06678,1981.43732,655.20163,306.33451,306.33451,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
15,Goal 15,"Protect, restore and promote sustainable use of terrestrial ecosystems, sustainably manage forests, combat desertification, and halt and reverse land degradation and halt biodiversity loss",15.a,Mobilize and significantly increase financial resources from all sources to conserve and sustainably use biodiversity and ecosystems,C200210,15.a.1,(a) Official development assistance on conservation and sustainable use of biodiversity; and (b) revenue generated and finance mobilized from biodiversity-relevant economic instruments,2020.Q1.G.02,"['means of implementation', 'development finance', 'biological diversity', 'genetic resources', 'development assistance']",DC_ODA_BDVDL,"Total official development assistance for biodiversity, by donor countries (millions of constant 2017 United States dollars)",40,Austria,4,155,Western Europe,Country,14.14172472,47.58704857,AUT,1,1,,,"[2002, 2003, 2004, 2005, 2006, 2007, 2008, 2009, 2010, 2011, 2012, 2013, 2014, 2015, 2016, 2017]",2002,2017,16,CON_USD,Constant USD,G,Global,9.7043,4.45534,9.4424,14.80355,16.15706,12.42935,29.01156,28.08923,15.77477,16.37643,14.83891,43.26497,20.19285,17.88403,20.31073,22.24598,22.24598,,,"CommitmentsBased on OECD, CRS databased, 2019Constant 2017 USD millionOther Official flows are not marked on biodiversity",The Organisation for Economic Co-operation and Development (OECD).,,C: Country data
